id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_per_bed,bath_per_bed,lot_living_ratio,basements_ratio,above_floors_ratio,living_density,lot_density,year_sale,month_sale,quarter_sale,days_since_start,renovation,years_since_renovation
1000102,2014-09-16,280000,6,3.0,2400,9373,2.0,0,0,3,7,2400,0,1991,0,98002,47.3262,-122.214,2060,7316,342.85714285714283,0.42857142857142855,3.9037900874635567,0.0,0.9995835068721366,1.1644832605531295,16690,2014,9,3,137,0,0
1001200050,2014-09-23,259000,4,1.5,1260,7248,1.5,0,0,5,7,1260,0,1955,0,98188,47.433,-122.292,1300,7732,252.0,0.3,5.74781919111816,0.0,0.9992069785884219,0.9684857801691007,14981,2014,9,3,144,0,0
1003000175,2014-12-22,221000,3,1.0,980,7606,1.0,0,0,3,7,980,0,1954,0,98188,47.4356,-122.29,980,8125,245.0,0.25,7.753312945973496,0.0,0.9989806320081549,0.9989806320081549,15732,2014,12,4,234,0,0
100300280,2014-10-20,355000,3,2.25,1430,4777,2.0,0,0,3,7,1430,0,2010,0,98059,47.4867,-122.152,1639,3854,357.5,0.5625,3.3382250174703003,0.0,0.9993011879804332,0.8719512195121951,8632,2014,10,4,171,0,0
100300530,2014-09-25,330000,3,2.5,1520,3003,2.0,0,0,3,7,1520,0,2009,0,98059,47.4876,-122.153,1820,3030,380.0,0.625,1.9743589743589745,0.0,0.9993425378040762,0.8347062053816584,6034,2014,9,3,146,0,0
1003400155,2014-08-11,233000,3,1.0,1100,7657,1.0,0,0,3,7,1100,0,1955,0,98188,47.4374,-122.285,1300,8000,275.0,0.25,6.954586739327884,0.0,0.9990917347865577,0.8455034588777863,15658,2014,8,3,101,0,0
1003400245,2014-12-01,179950,3,1.0,1130,9907,1.0,0,0,3,7,1130,0,1954,0,98188,47.4362,-122.286,1320,9907,282.5,0.25,8.759504862953138,0.0,0.9991158267020336,0.8554125662376987,19815,2014,12,4,213,0,0
1003400250,2014-06-05,237000,3,1.0,1130,10650,1.0,0,0,3,7,1130,0,1954,0,98188,47.4363,-122.286,1320,10650,282.5,0.25,9.416445623342176,0.0,0.9991158267020336,0.8554125662376987,21301,2014,6,2,34,0,0
1003600056,2014-10-24,239000,4,2.0,1370,8837,1.5,0,0,3,7,1370,0,1955,0,98188,47.4386,-122.285,1360,9000,274.0,0.4,6.445660102115244,0.0,0.9992706053975201,1.0066127847171198,17838,2014,10,4,175,0,0
1003600080,2014-11-07,245000,3,1.0,1010,9678,1.0,0,0,5,7,1010,0,1955,0,98188,47.4396,-122.285,1010,9375,252.5,0.25,9.572700296735905,0.0,0.9990108803165183,0.9990108803165183,19054,2014,11,4,189,0,0
1005000062,2014-08-01,299000,2,1.0,1040,4600,1.0,0,0,4,6,1040,0,1950,0,98118,47.5387,-122.277,1390,5897,346.6666666666667,0.3333333333333333,4.418828049951969,0.0,0.9990393852065321,0.7476635514018691,10498,2014,8,3,91,0,0
100500020,2014-09-11,250000,3,2.5,1610,6600,2.0,0,0,3,7,1610,0,1994,0,98003,47.2827,-122.302,1660,7689,402.5,0.625,4.0968342644320295,0.0,0.9993792675356921,0.9692956050571945,14290,2014,9,3,132,0,0
1005000250,2015-01-30,350000,2,1.0,840,5551,1.0,0,0,3,6,840,0,1952,0,98118,47.5354,-122.28,1270,4652,280.0,0.3333333333333333,6.600475624256837,0.0,0.9988109393579072,0.6608969315499607,10204,2015,1,1,273,0,0
100600550,2014-08-04,226500,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500,325.0,0.375,5.664873174481168,0.3074558032282859,0.6917755572636434,0.9084556254367575,14871,2014,8,3,94,0,0
1015000050,2015-01-06,652600,4,2.5,2220,5900,2.0,0,0,3,8,2220,0,2014,0,98117,47.6956,-122.36,1620,5900,444.0,0.5,2.6564610535794686,0.0,0.9995497523638001,1.3695249845774213,11801,2015,1,1,249,0,0
1015500300,2014-05-15,455000,3,2.5,1870,7344,1.0,0,0,3,8,1470,400,1980,0,98034,47.7265,-122.206,1930,7344,467.5,0.625,3.925173703901657,0.21378941742383753,0.7856761090326029,0.9684101501812532,14689,2014,5,2,13,0,0
1016000080,2014-11-25,345000,3,1.0,1620,10610,1.0,0,0,4,6,1620,0,1958,0,98059,47.474,-122.125,1680,10795,405.0,0.25,6.545342381246145,0.0,0.999383096853794,0.9637120761451516,21406,2014,11,4,207,0,0
